dataset,threshold,number_of_shapelets,mode of cancellation,inverted,cnn_train_confidence,cnn_test_confidence,ls_train_confidence,ls_test_confidence,rand_train_confidence,rand_test_confidence,avg_total_area_size_cnn,avg_total_area_size_ls,avg_total_area_size_rand
Coffee,,,-,-,0.9998289409077386,0.9936974805595743,0.9998289409077386,0.9936974805595743,0.9998289409077386,0.9936974805595743,,,
Coffee,0.703125,1.0,zero,False,0.4984429265771594,0.5334862811224801,0.6994967293106238,0.7244172378947376,0.7469324540363707,0.7136819822682792,28.0,28.0,28.0
Coffee,0.703125,1.0,linear,False,0.7935690947467395,0.6789574044419818,0.9994159816783633,0.9866721610957144,0.8945435614158098,0.9148613805144912,28.0,28.0,28.0
Coffee,0.703125,1.0,mean,False,0.9834453611861217,0.9099541023728241,0.9996030619228975,0.9969889102091608,0.9991236998460076,0.976496574591275,28.0,28.0,28.0
Coffee,0.703125,1.0,zero,True,0.8984098332262872,0.8197668841827703,0.39324287278577685,0.4451757889453022,0.5919254696229519,0.496675993299424,28.0,28.0,28.0
Coffee,0.703125,1.0,linear,True,0.501140377351216,0.5363310277462006,0.37320740621362347,0.42906723622062215,0.4700327794576131,0.5391665316765608,28.0,28.0,28.0
Coffee,0.703125,1.0,mean,True,0.9058120865270861,0.9362050059633995,0.7346773794186967,0.6230278462171555,0.6765267344973316,0.6612448318878056,28.0,28.0,28.0
Coffee,0.703125,2.0,zero,False,0.4984429265771594,0.5334862811224801,0.9939257292646302,0.9664103180688707,0.892015766035887,0.6815463145396895,28.0,28.0,28.0
Coffee,0.703125,2.0,linear,False,0.7935690947467395,0.6789574044419818,0.9998471871753666,0.99398708447054,0.9997551167645168,0.9751811034618817,28.0,28.0,28.0
Coffee,0.703125,2.0,mean,False,0.9834453611861217,0.9099541023728241,0.999734754431938,0.9728273563029975,0.9996636589349451,0.989869860500428,28.0,28.0,28.0
Coffee,0.703125,2.0,zero,True,0.8984098332262872,0.8197668841827703,0.4652417317203279,0.49350367353430813,0.3974128456109949,0.5718940870291139,28.0,28.0,28.0
Coffee,0.703125,2.0,linear,True,0.501140377351216,0.5363310277462006,0.43157897922459854,0.5242264600736755,0.5175746276586811,0.6315323664513437,28.0,28.0,28.0
Coffee,0.703125,2.0,mean,True,0.9058120865270861,0.9362050059633995,0.5446352905460766,0.5168093953813826,0.6749161807154971,0.6082364569218563,28.0,28.0,28.0
Coffee,0.703125,3.0,zero,False,0.4984429265771594,0.5334862811224801,0.7037902603362158,0.8545195663658188,0.7746415574897298,0.7537190255047234,28.0,27.0,27.0
Coffee,0.703125,3.0,linear,False,0.7935690947467395,0.6789574044419818,0.999776307078503,0.9984470921291314,0.9998438863257235,0.9957012471580401,28.0,27.0,27.0
Coffee,0.703125,3.0,mean,False,0.9834453611861217,0.9099541023728241,0.9995973444717395,0.9934039151965148,0.9996122872219578,0.9957577142294213,28.0,27.0,27.0
Coffee,0.703125,3.0,zero,True,0.8984098332262872,0.8197668841827703,0.5824809853636128,0.41352063666064554,0.5963924317534293,0.5055171471428699,28.0,27.0,27.0
Coffee,0.703125,3.0,linear,True,0.501140377351216,0.5363310277462006,0.624988557600383,0.4470864458068847,0.5627029523344818,0.5956129785576536,28.0,27.0,27.0
Coffee,0.703125,3.0,mean,True,0.9058120865270861,0.9362050059633995,0.6300922395395381,0.560589214520795,0.6208993336185813,0.66147527258311,28.0,27.0,27.0
Coffee,0.703125,4.0,zero,False,0.4984429265771594,0.5334862811224801,0.5929261836958589,0.5643854729149543,0.8861067653696354,0.791305105223108,28.0,28.0,28.0
Coffee,0.703125,4.0,linear,False,0.7935690947467395,0.6789574044419818,0.9998233426555073,0.9966043416016659,0.9966887134716658,0.9932250970114477,28.0,28.0,28.0
