dataset,threshold,number_of_shapelets,mode of cancellation,inverted,cnn_train_confidence,cnn_test_confidence,ls_train_confidence,ls_test_confidence
GunPoint,,,-,-,0.9986621621399601,0.9443712367701385,0.9986621621399601,0.9443712367701385
GunPoint,0.9,1.0,zero,False,0.686033349399763,0.7050496113499263,0.5507217901780241,0.4942815991876136
GunPoint,0.9,1.0,linear,False,0.9983832346436893,0.9457291394423029,0.8966959261577175,0.8332918232717068
GunPoint,0.9,1.0,mean,False,0.9972493664595672,0.9428957925153032,0.9334653822479024,0.8787907167954205
GunPoint,0.9,1.0,zero,True,0.48422174792982986,0.46575715863766254,0.5121205700877887,0.48851192457530945
GunPoint,0.9,1.0,linear,True,0.6654815409048416,0.5555017678924545,0.5700719632843381,0.49850755329166563
GunPoint,0.9,1.0,mean,True,0.7105360004114198,0.6583392241280506,0.5781997765094274,0.5554333721213031
GunPoint,0.9,2.0,zero,False,0.686033349399763,0.7050496113499263,0.6752070765988677,0.5671851710130774
GunPoint,0.9,2.0,linear,False,0.9983832346436893,0.9457291394423029,0.9968869739881983,0.9604690665238996
GunPoint,0.9,2.0,mean,False,0.9972493664595672,0.9428957925153032,0.9351072555928884,0.8787115179825494
GunPoint,0.9,2.0,zero,True,0.48422174792982986,0.46575715863766254,0.5380185162429761,0.4982704171758524
GunPoint,0.9,2.0,linear,True,0.6654815409048416,0.5555017678924545,0.4872378579100751,0.4870950058353234
GunPoint,0.9,2.0,mean,True,0.7105360004114198,0.6583392241280506,0.570784038625459,0.5633741778685967
GunPoint,0.9,3.0,zero,False,0.686033349399763,0.7050496113499263,0.44773440056333513,0.4697439812149552
GunPoint,0.9,3.0,linear,False,0.9983832346436893,0.9457291394423029,0.9875095664655842,0.9413704934846532
GunPoint,0.9,3.0,mean,False,0.9972493664595672,0.9428957925153032,0.8274395347051994,0.7688418819431093
GunPoint,0.9,3.0,zero,True,0.48422174792982986,0.46575715863766254,0.5200000000374365,0.4933333333333989
GunPoint,0.9,3.0,linear,True,0.6654815409048416,0.5555017678924545,0.640530346609784,0.5728713490766993
GunPoint,0.9,3.0,mean,True,0.7105360004114198,0.6583392241280506,0.5190794840446468,0.5563032480684489
GunPoint,0.9,4.0,zero,False,0.686033349399763,0.7050496113499263,0.5403610790477544,0.5247975805718089
GunPoint,0.9,4.0,linear,False,0.9983832346436893,0.9457291394423029,0.9811788496061631,0.9282143977270768
GunPoint,0.9,4.0,mean,False,0.9972493664595672,0.9428957925153032,0.9134774349009118,0.8349944026019307
GunPoint,0.9,4.0,zero,True,0.48422174792982986,0.46575715863766254,0.5199999999999049,0.4933333333334088
GunPoint,0.9,4.0,linear,True,0.6654815409048416,0.5555017678924545,0.6728540604797819,0.6056579126582547
GunPoint,0.9,4.0,mean,True,0.7105360004114198,0.6583392241280506,0.4922901785373688,0.5343922866324182
GunPoint,0.9,5.0,zero,False,0.686033349399763,0.7050496113499263,0.744463097087414,0.6788660935030654
GunPoint,0.9,5.0,linear,False,0.9983832346436893,0.9457291394423029,0.9977369622092689,0.9447819578692245
GunPoint,0.9,5.0,mean,False,0.9972493664595672,0.9428957925153032,0.8426096759689036,0.7936361594121946
